imo,name,type,dwt,capacity,built,loading_status,origin,eta,lat,lon,progress
9589786,HAATO,BULK,61472,77674.0,2011,laden,Cape Town,2025-10-05T03:00:00.000Z,25.0278,-86.4098,0.5360730026385923
9327384,LYCIA KA,TANK,37039,,2006,laden,Skaramanga,2026-03-01T02:00:00.000Z,31.5844,29.7172,0.9352656495784025
9174268,SEAGUARDIAN,BULK,75462,89422.5,1999,laden,Gelendzhik,2026-04-03T10:00:00.000Z,33.1017,28.8883,0.9186876865116245
9531662,BC MIRABEL,BULK,58186,73142.0,2013,laden,Constantza,2026-04-06T08:00:00.000Z,31.7932,29.3237,0.9793704631521095
9239288,SEADRAGON,MPP,10500,14693.0,2001,laden,Izmir,2026-04-06T17:00:00.000Z,32.702,29.0293,0.7410808977720298
9714056,HAFNIA AMBER,TANK,38506,,2015,laden,Gibraltar,2026-04-09T09:00:00.000Z,32.24,30.1283,0.9718554686484332
9347839,INDUSTRIAL DESTINY,MPP,8834,11326.0,2006,laden,Zarzis,2026-04-11T11:00:00.000Z,31.6261,28.7399,0.9661050944146087
8519954,RUSTEM,MPP,1400,1769.94,1986,ballast,Kos,2026-04-11T17:00:00.000Z,31.73,31.6735,0.7827463385215007
9139127,YUSUF BEY,MPP,4766,6634.0,1997,laden,Olbia,2026-04-14T12:00:00.000Z,31.6016,31.7687,0.9175795706640868
9216107,EGY CROWN,CONT,18425,,2000,laden,Port Said,2026-04-15T18:00:00.000Z,31.7503,31.2139,0.5725422108780565
9127007,JAGUAR,CONT,14587,,1996,laden,Ambarli,2026-04-16T03:00:00.000Z,31.8092,28.065,0.8956077028073527
9532343,ANITA A,CONT,8494,,2009,laden,Damietta,2026-04-16T10:00:00.000Z,31.7429,31.019,0.5460545775835083
9165310,MERNA 2,MPP,14413,,1998,laden,Qasr Ahmed,2026-04-16T12:00:00.000Z,35.1832,34.9575,0.7350132111933648
9330238,MSC CHARLOTTE,CONT,13619,,2007,laden,Limassol,2026-04-16T21:00:00.000Z,32.2363,31.1279,0.6923036896034762
9882528,CMA CGM ADONIS,CONT,156500,,2022,laden,Mersin,2026-04-18T04:00:00.000Z,31.4656,29.6253,0.9453323939387568
9214721,DAY DREAM,MPP,6432,7200.0,2001,laden,Aveiro,2026-04-18T10:00:00.000Z,33.72,22.59,0.8090697497819013
9309461,MSC TOMOKO,CONT,114125,,2006,laden,Haifa,2026-04-18T14:00:00.000Z,32.43,30.74,0.6255993381360864
9491197,KIRAN EUROPE,BULK,56666,71634.0,2010,laden,Zeytinburnu,2026-04-18T20:00:00.000Z,32.2533,29.23,0.8555210086576575
1028188,NORD BAY,BULK,64000,81431.5,2025,,Gibraltar,2026-04-19T08:00:00.000Z,31.5595,28.6013,0.9577261420912356
9318931,ORITA,CONT,7993,,2005,laden,Novorossiysk,2026-04-19T14:00:00.000Z,35.9667,27.5472,0.738400213121038
9747417,MV IONIC UNITED,BULK,60425,75999.0,2016,laden,Cargill Terminal,2026-04-19T20:00:00.000Z,33.2819,23.5235,0.9442236249762122
9195705,GEERT,MPP,3785,5248.0,2001,laden,Lesport,2026-04-19T21:00:00.000Z,35.3253,29.7016,0.7275814530766274
9310642,OURANIA DREAM,BULK,83002,97233.0,2006,laden,Varna West,2026-04-20T02:00:00.000Z,41.0603,29.0461,0.13610545011282
9303510,FORTUNE PROSPERITY,BULK,77747,92152.0,2005,laden,Zeytinburnu,2026-04-20T04:00:00.000Z,35.8564,27.4036,0.5270571670634216
9736042,AMIRA NORA,MPP,33399,43205.0,2015,laden,Zeytinburnu,2026-04-20T06:00:00.000Z,37.1224,26.5127,0.4453253605883799
9392078,LADY MONICA,MPP,33371,44642.0,2009,laden,Zeytinburnu,2026-04-20T06:00:00.000Z,38.7696,25.7169,0.29956367675725004
9938298,CMA CGM AMAZONIA,CONT,145650,,2024,,Amchit,2026-04-20T08:00:00.000Z,33.9083,35.54,0.0005184708563684154
