date,portcalls,import_tonnes,export_tonnes,anomaly_score,likely_event
2026-01-15,25,301512,139455,-0.08539763883871487,Unclassified
2025-10-06,24,227991,245273,-0.07425899771272582,National holidays
2025-11-17,21,403624,42843,-0.05910665448324515,Autumn storm season
2026-01-19,21,150341,295673,-0.047026463432646715,Unclassified
2025-05-25,6,219240,7920,-0.04524815236606328,Unclassified
2025-06-12,13,247632,216172,-0.04049130018802882,Unclassified
2025-11-15,2,1403,1813,-0.03682642344758813,Autumn storm season
2026-01-14,6,45905,758,-0.03211650588642834,Unclassified
2026-01-22,11,39817,246429,-0.03174448875415248,Unclassified
2026-01-25,2,31090,7464,-0.02643757307953465,Unclassified
2025-01-02,12,92630,189188,-0.023960762642134203,Unclassified
2025-05-11,6,1838,131312,-0.02069880748605979,Unclassified
2025-10-13,28,338832,50780,-0.020350486766169462,Unclassified
2025-05-22,4,60285,6989,-0.020071279032431333,Unclassified
2026-02-18,0,0,0,-0.013933170462566702,Unclassified
2026-01-21,4,48508,17494,-0.013706622122348744,Unclassified
2025-03-24,24,288381,41720,-0.01355219774477967,Unclassified
2026-01-13,0,0,0,-0.013176795618368375,Unclassified
2025-01-03,15,100063,119101,-0.012982920405427367,Unclassified
2026-03-05,9,356083,74940,-0.012371556271613904,Unclassified
2026-03-20,4,43526,9881,-0.010093741481525309,Unclassified
2025-08-26,3,26269,4043,-0.009241803941623772,Unclassified
2025-03-21,1,1854,613,-0.007476719036270563,Unclassified
2025-12-08,13,250253,28662,-0.006954109276114617,Unclassified
2025-09-19,0,0,0,-0.006533003153467387,Unclassified
2025-06-24,20,75305,65747,-0.006371872278824631,Red Sea re-routing peak
2025-05-05,27,220494,107070,-0.005694908118643371,Eid al-Fitr holiday period
2025-10-02,9,262116,11454,-0.005670361422594805,National holidays
2025-06-19,16,224229,86087,-0.005527348192033932,Red Sea re-routing peak
2025-09-27,14,94009,217914,-0.005526944923718746,Unclassified
2025-04-08,17,166176,217294,-0.004672707507192508,Suez Canal congestion
2025-10-09,0,0,0,-0.0033315755051630536,National holidays
2025-12-11,14,200220,177948,-0.002176577924219547,Unclassified
2026-03-21,4,62282,6628,-0.0018961951732849869,Unclassified
2025-03-20,1,2942,0,-0.00027075133840259724,Houthi escalation & US strikes
2025-06-23,11,135377,7118,-0.0002309068486294752,Red Sea re-routing peak
2025-02-08,12,243379,40347,-9.080567026642505e-05,Red Sea Crisis - Houthi attacks surge
2025-09-22,20,225707,131315,-5.488780849616237e-05,Unclassified
