date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2025-01-01,2025,1,1,port2044,El Dekheila,Egypt,EGY,0,2,0,0,0,2,2,0,25397,0,0,0,25397,25397,0,1623,0,0,0,1623,1623
2025-01-01,2025,1,1,port23,Alexandria,Egypt,EGY,2,1,6,0,2,9,11,20456,2691,7804,0,0,30952,30952,19874,0,2580,0,29721,22454,52176
2025-01-02,2025,1,2,port2044,El Dekheila,Egypt,EGY,4,4,2,0,0,10,10,22929,143122,1703,0,0,167755,167755,3578,14520,4758,0,0,22857,22857
2025-01-02,2025,1,2,port23,Alexandria,Egypt,EGY,4,3,4,0,1,11,12,13468,71294,7441,0,425,92205,92630,177754,9942,1492,0,0,189188,189188
2025-01-03,2025,1,3,port2044,El Dekheila,Egypt,EGY,3,3,0,0,0,6,6,4385,101749,0,0,0,106135,106135,7903,9680,0,0,0,17583,17583
2025-01-03,2025,1,3,port23,Alexandria,Egypt,EGY,5,2,7,0,1,14,15,26518,53101,14726,0,5717,94346,100063,118222,0,878,0,0,119101,119101
2025-01-04,2025,1,4,port2044,El Dekheila,Egypt,EGY,1,1,2,0,1,4,5,0,37474,667,0,5905,38142,44047,2210,4840,1507,0,9098,8558,17656
2025-01-04,2025,1,4,port23,Alexandria,Egypt,EGY,3,0,6,0,2,9,11,49382,0,13288,0,0,62670,62670,12264,0,2454,0,7388,14719,22107
2025-01-05,2025,1,5,port2044,El Dekheila,Egypt,EGY,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6446,0,0,0,0,6446,6446
2025-01-05,2025,1,5,port23,Alexandria,Egypt,EGY,2,1,3,0,1,6,7,20456,19684,6458,0,0,46599,46599,19874,0,1227,0,0,21101,21101
2025-01-06,2025,1,6,port2044,El Dekheila,Egypt,EGY,3,3,1,0,1,7,8,0,71291,0,0,5905,71291,77196,5869,10865,2770,0,9098,19505,28603
2025-01-06,2025,1,6,port23,Alexandria,Egypt,EGY,5,3,6,0,1,14,15,79893,74493,15207,0,8654,169594,178249,5018,6628,2028,0,3494,13674,17169
2025-01-07,2025,1,7,port2044,El Dekheila,Egypt,EGY,1,3,0,0,2,4,6,0,143225,0,0,4083,143225,147309,2257,9680,0,0,0,11938,11938
2025-01-07,2025,1,7,port23,Alexandria,Egypt,EGY,2,3,4,0,2,9,11,51832,97283,4497,0,8654,153613,162268,9937,0,3754,0,15765,13691,29457
2025-01-08,2025,1,8,port2044,El Dekheila,Egypt,EGY,2,3,1,0,0,6,6,8024,105421,1703,0,0,115149,115149,0,56492,1060,0,0,57553,57553
2025-01-08,2025,1,8,port23,Alexandria,Egypt,EGY,2,1,3,0,0,6,6,19079,26748,5395,0,0,51224,51224,12264,0,2753,0,0,15018,15018
2025-01-09,2025,1,9,port2044,El Dekheila,Egypt,EGY,2,1,1,0,0,4,4,10479,53299,1703,0,0,65481,65481,0,0,1060,0,0,1060,1060
2025-01-09,2025,1,9,port23,Alexandria,Egypt,EGY,4,1,3,0,1,8,9,29402,57979,3709,0,0,91092,91092,23996,0,1227,0,5140,25224,30364
2025-01-10,2025,1,10,port2044,El Dekheila,Egypt,EGY,0,1,3,0,2,4,6,0,37474,8424,0,11810,45899,57710,0,4840,1060,0,18197,5900,24097
2025-01-10,2025,1,10,port23,Alexandria,Egypt,EGY,1,3,2,0,2,6,8,7815,73462,1854,0,32975,83132,116108,0,6628,1441,0,4915,8069,12984
2025-01-11,2025,1,11,port2044,El Dekheila,Egypt,EGY,3,1,0,0,0,4,4,0,37474,0,0,0,37474,37474,2904,4840,0,0,0,7744,7744
2025-01-11,2025,1,11,port23,Alexandria,Egypt,EGY,3,2,0,2,0,7,7,20456,42675,0,0,0,63132,63132,152913,3314,0,0,0,156227,156227
2025-01-12,2025,1,12,port2044,El Dekheila,Egypt,EGY,1,2,3,0,0,6,6,0,82,4385,0,0,4468,4468,5642,57164,1979,0,0,64786,64786
2025-01-12,2025,1,12,port23,Alexandria,Egypt,EGY,3,4,0,0,0,7,7,0,55645,0,0,0,55645,55645,72182,3314,0,0,0,75496,75496
2025-01-13,2025,1,13,port2044,El Dekheila,Egypt,EGY,2,1,1,0,2,4,6,2679,37474,1703,0,5905,41857,47762,2179,4840,1060,0,43671,8080,51751
2025-01-13,2025,1,13,port23,Alexandria,Egypt,EGY,3,5,6,1,0,15,15,116250,67459,10646,0,0,194357,194357,9937,60391,1227,0,0,71555,71555
2025-01-14,2025,1,14,port2044,El Dekheila,Egypt,EGY,3,1,1,0,0,5,5,28958,25730,1703,0,0,56391,56391,6626,0,1060,0,0,7686,7686
2025-01-14,2025,1,14,port23,Alexandria,Egypt,EGY,4,1,5,0,4,10,14,163319,13426,5564,0,8654,182310,190965,19874,0,2681,0,35377,22555,57932
2025-01-15,2025,1,15,port2044,El Dekheila,Egypt,EGY,3,4,1,0,0,8,8,0,212310,1703,0,0,214013,214013,18546,0,1060,0,0,19606,19606
2025-01-15,2025,1,15,port23,Alexandria,Egypt,EGY,4,0,6,0,0,10,10,61411,0,8132,0,0,69544,69544,19874,0,3158,0,0,23032,23032
2025-01-16,2025,1,16,port2044,El Dekheila,Egypt,EGY,2,0,2,0,2,4,6,2192,0,707,0,723,2900,3624,6149,0,138,0,65,6287,6353
2025-01-16,2025,1,16,port23,Alexandria,Egypt,EGY,3,1,2,0,2,6,8,20456,23764,3709,0,0,47930,47930,33016,3314,1227,0,9923,37557,47480
2025-01-17,2025,1,17,port2044,El Dekheila,Egypt,EGY,2,1,2,0,0,5,5,2991,63998,719,0,0,67709,67709,0,0,4103,0,0,4103,4103
2025-01-17,2025,1,17,port23,Alexandria,Egypt,EGY,3,1,2,2,0,8,8,2140,52061,1854,8216,0,64273,64273,13247,0,4989,0,0,18236,18236
2025-01-18,2025,1,18,port2044,El Dekheila,Egypt,EGY,3,0,1,0,1,4,5,0,0,1323,0,5905,1323,7229,11169,0,0,0,9098,11169,20267
2025-01-18,2025,1,18,port23,Alexandria,Egypt,EGY,3,2,4,1,1,10,11,36442,63559,4352,0,32465,104354,136819,24604,5109,4357,0,0,34071,34071
2025-01-19,2025,1,19,port2044,El Dekheila,Egypt,EGY,1,1,1,0,0,3,3,0,37474,2636,0,0,40110,40110,2070,4840,0,0,0,6911,6911
2025-01-19,2025,1,19,port23,Alexandria,Egypt,EGY,2,1,1,0,1,4,5,20456,1124,1854,0,0,23435,23435,19874,2005,613,0,1194,22493,23687
2025-01-20,2025,1,20,port2044,El Dekheila,Egypt,EGY,6,0,1,0,0,7,7,4403,0,1703,0,0,6106,6106,14616,0,1060,0,0,15676,15676
2025-01-20,2025,1,20,port23,Alexandria,Egypt,EGY,5,2,5,1,2,13,15,24356,52535,7419,1124,10857,85435,96293,19880,3314,7851,0,0,31046,31046
2025-01-21,2025,1,21,port2044,El Dekheila,Egypt,EGY,2,3,0,0,1,5,6,2834,105003,0,0,0,107837,107837,2179,0,0,0,31143,2179,33323
2025-01-21,2025,1,21,port23,Alexandria,Egypt,EGY,3,2,2,0,0,7,7,23354,23764,1854,0,0,48974,48974,19874,3314,613,0,0,23801,23801
2025-01-22,2025,1,22,port2044,El Dekheila,Egypt,EGY,2,1,0,0,0,3,3,0,0,0,0,0,0,0,4623,42833,0,0,0,47456,47456
2025-01-22,2025,1,22,port23,Alexandria,Egypt,EGY,3,2,2,0,1,7,8,32679,47792,4986,0,425,85457,85883,19874,3314,613,0,0,23801,23801
2025-01-23,2025,1,23,port2044,El Dekheila,Egypt,EGY,1,0,2,0,2,3,5,0,0,6974,0,6705,6974,13679,4616,0,1060,0,30460,5676,36137
2025-01-23,2025,1,23,port23,Alexandria,Egypt,EGY,2,1,2,1,1,6,7,0,23764,3224,1357,0,28346,28346,4449,3314,0,30,4988,7794,12782
2025-01-24,2025,1,24,port2044,El Dekheila,Egypt,EGY,1,0,1,0,0,2,2,615,0,7380,0,0,7996,7996,0,0,0,0,0,0,0
2025-01-24,2025,1,24,port23,Alexandria,Egypt,EGY,5,4,7,0,0,16,16,2572,95059,17009,0,0,114641,114641,115858,13256,9969,0,0,139083,139083
2025-01-25,2025,1,25,port2044,El Dekheila,Egypt,EGY,5,2,0,0,1,7,8,4385,74949,0,0,5905,79334,85240,13299,9680,0,0,9098,22979,32078
2025-01-25,2025,1,25,port23,Alexandria,Egypt,EGY,3,3,4,0,2,10,12,20456,82049,6301,0,11010,108806,119817,63576,6628,1840,0,163,72045,72209
2025-01-26,2025,1,26,port2044,El Dekheila,Egypt,EGY,3,0,1,0,1,4,5,3834,0,1703,0,0,5538,5538,6941,0,1060,0,0,8001,8001
2025-01-26,2025,1,26,port23,Alexandria,Egypt,EGY,3,2,6,0,0,11,11,165688,56600,8936,0,0,231225,231225,5272,555,2357,0,0,8186,8186
2025-01-27,2025,1,27,port2044,El Dekheila,Egypt,EGY,3,0,0,0,1,3,4,2192,0,0,0,0,2192,2192,10496,0,0,0,16305,10496,26801
2025-01-27,2025,1,27,port23,Alexandria,Egypt,EGY,2,8,3,1,3,14,17,20456,122018,7665,0,43244,150139,193384,19874,31646,1227,0,966,52747,53713
2025-01-28,2025,1,28,port2044,El Dekheila,Egypt,EGY,2,2,0,0,0,4,4,382,69503,0,0,0,69885,69885,3963,0,0,0,0,3963,3963
2025-01-28,2025,1,28,port23,Alexandria,Egypt,EGY,3,1,4,0,3,8,11,60487,31182,217,0,867,91888,92755,9288,0,307,0,25950,9596,35547
2025-01-29,2025,1,29,port2044,El Dekheila,Egypt,EGY,2,2,0,0,2,4,6,0,38067,0,0,1540,38067,39608,10564,6463,0,0,0,17028,17028
2025-01-29,2025,1,29,port23,Alexandria,Egypt,EGY,1,2,4,0,1,7,8,10228,23764,5483,0,1271,39476,40748,9937,5535,2158,0,0,17631,17631
2025-01-30,2025,1,30,port2044,El Dekheila,Egypt,EGY,2,2,1,0,1,5,6,0,45017,0,0,490,45017,45508,7328,4840,2481,0,0,14650,14650
2025-01-30,2025,1,30,port23,Alexandria,Egypt,EGY,4,1,4,0,0,9,9,10228,23764,8750,0,0,42743,42743,77281,3314,1227,0,0,81823,81823
2025-01-31,2025,1,31,port2044,El Dekheila,Egypt,EGY,2,3,1,0,0,6,6,361,229729,3703,0,0,233794,233794,1671,60864,0,0,0,62535,62535
2025-01-31,2025,1,31,port23,Alexandria,Egypt,EGY,4,6,1,0,0,11,11,24043,154295,0,0,0,178339,178339,23493,9942,857,0,0,34293,34293
2025-02-01,2025,2,1,port2044,El Dekheila,Egypt,EGY,3,0,2,0,0,5,5,2192,0,1703,0,0,3895,3895,9524,0,2425,0,0,11950,11950
2025-02-01,2025,2,1,port23,Alexandria,Egypt,EGY,4,1,6,0,0,11,11,14631,23764,8318,0,0,46715,46715,97750,3314,1849,0,0,102914,102914
2025-02-02,2025,2,2,port2044,El Dekheila,Egypt,EGY,1,1,2,0,0,4,4,0,37474,2497,0,0,39972,39972,766,4840,1060,0,0,6667,6667
2025-02-02,2025,2,2,port23,Alexandria,Egypt,EGY,3,3,1,0,0,7,7,35096,74478,0,0,0,109575,109575,23504,6628,405,0,0,30538,30538
2025-02-03,2025,2,3,port2044,El Dekheila,Egypt,EGY,2,3,0,0,0,5,5,0,39460,0,0,0,39460,39460,4341,6463,0,0,0,10805,10805
2025-02-03,2025,2,3,port23,Alexandria,Egypt,EGY,4,7,4,0,1,15,16,70812,82676,8802,0,4252,162291,166544,23504,54844,1227,0,0,79576,79576
2025-02-04,2025,2,4,port2044,El Dekheila,Egypt,EGY,3,1,0,0,0,4,4,5519,37474,0,0,0,42994,42994,2179,4840,0,0,0,7020,7020
2025-02-04,2025,2,4,port23,Alexandria,Egypt,EGY,3,2,5,0,0,10,10,0,35442,7496,0,0,42938,42938,30791,3314,7645,0,0,41751,41751
2025-02-05,2025,2,5,port2044,El Dekheila,Egypt,EGY,0,1,0,0,1,1,2,0,37474,0,0,301,37474,37775,0,4840,0,0,0,4840,4840
2025-02-05,2025,2,5,port23,Alexandria,Egypt,EGY,2,1,1,0,1,4,5,0,45595,14369,0,0,59965,59965,53820,0,0,0,1789,53820,55609
2025-02-06,2025,2,6,port2044,El Dekheila,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-06,2025,2,6,port23,Alexandria,Egypt,EGY,0,0,1,0,0,1,1,0,0,1854,0,0,1854,1854,0,0,613,0,0,613,613
2025-02-07,2025,2,7,port2044,El Dekheila,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-07,2025,2,7,port23,Alexandria,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-08,2025,2,8,port2044,El Dekheila,Egypt,EGY,5,1,1,1,1,8,9,6875,0,1703,1127,0,9706,9706,12741,1667,1060,110,5894,15579,21474
2025-02-08,2025,2,8,port23,Alexandria,Egypt,EGY,5,2,1,3,1,11,12,180579,44787,671,3576,13764,229614,243379,40231,0,0,116,0,40347,40347
2025-02-09,2025,2,9,port2044,El Dekheila,Egypt,EGY,3,2,1,0,0,6,6,2485,91614,1703,0,0,95803,95803,16589,4840,1060,0,0,22490,22490
2025-02-09,2025,2,9,port23,Alexandria,Egypt,EGY,3,3,4,1,1,11,12,149320,27584,13704,0,8654,190609,199264,23504,3314,2192,0,3494,29011,32506
2025-02-10,2025,2,10,port2044,El Dekheila,Egypt,EGY,5,3,0,0,1,8,9,241,125690,0,0,5432,125931,131364,6867,53011,0,0,0,59878,59878
2025-02-10,2025,2,10,port23,Alexandria,Egypt,EGY,4,7,6,1,3,18,21,27294,109443,9213,510,67840,146462,214303,72516,27186,3128,0,0,102831,102831
2025-02-11,2025,2,11,port2044,El Dekheila,Egypt,EGY,5,0,1,0,1,6,7,7506,0,1703,0,0,9209,9209,3508,0,1060,0,11390,4568,15959
2025-02-11,2025,2,11,port23,Alexandria,Egypt,EGY,5,3,3,1,0,12,12,32933,57985,5117,1812,0,97849,97849,87709,50238,613,0,0,138561,138561
2025-02-12,2025,2,12,port2044,El Dekheila,Egypt,EGY,2,0,0,0,1,2,3,0,0,0,0,5905,0,5905,12484,0,0,0,9098,12484,21582
2025-02-12,2025,2,12,port23,Alexandria,Egypt,EGY,2,3,5,0,1,10,11,12193,47529,8234,0,1097,67958,69055,10390,11821,1227,0,0,23439,23439
2025-02-13,2025,2,13,port2044,El Dekheila,Egypt,EGY,1,0,1,0,0,2,2,2192,0,1703,0,0,3895,3895,2179,0,1060,0,0,3240,3240
2025-02-13,2025,2,13,port23,Alexandria,Egypt,EGY,2,0,3,0,0,5,5,14631,0,4038,0,0,18670,18670,19217,0,2687,0,0,21904,21904
2025-02-14,2025,2,14,port2044,El Dekheila,Egypt,EGY,4,3,0,0,1,7,8,9899,116827,0,0,0,126726,126726,10144,9680,0,0,13764,19825,33589
2025-02-14,2025,2,14,port23,Alexandria,Egypt,EGY,2,2,6,0,1,10,11,26569,78028,11625,0,8654,116223,124878,11752,3314,3355,0,3494,18422,21916
2025-02-15,2025,2,15,port2044,El Dekheila,Egypt,EGY,2,0,0,0,2,2,4,7583,0,0,0,5905,7583,13489,2179,0,0,0,9098,2179,11278
2025-02-15,2025,2,15,port23,Alexandria,Egypt,EGY,4,1,2,1,1,8,9,45690,23764,3709,1127,0,74291,74291,23504,3314,1227,0,163,28045,28209
2025-02-16,2025,2,16,port2044,El Dekheila,Egypt,EGY,2,3,0,0,1,5,6,0,126638,0,0,0,126638,126638,8775,4840,0,0,8369,13616,21985
2025-02-16,2025,2,16,port23,Alexandria,Egypt,EGY,3,2,2,0,0,7,7,14631,44797,1222,0,0,60651,60651,55366,0,0,0,0,55366,55366
2025-02-17,2025,2,17,port2044,El Dekheila,Egypt,EGY,2,3,0,0,1,5,6,2192,138119,0,0,5905,140312,146217,10778,9680,0,0,9098,20459,29557
2025-02-17,2025,2,17,port23,Alexandria,Egypt,EGY,3,2,11,1,1,17,18,14631,38149,14753,649,37972,68183,106155,35087,10227,7257,116,0,52688,52688
2025-02-18,2025,2,18,port2044,El Dekheila,Egypt,EGY,3,0,0,0,0,3,3,3429,0,0,0,0,3429,3429,6524,0,0,0,0,6524,6524
2025-02-18,2025,2,18,port23,Alexandria,Egypt,EGY,5,5,3,0,0,13,13,75998,88976,3498,0,0,168474,168474,2758,14647,1280,0,0,18686,18686
2025-02-19,2025,2,19,port2044,El Dekheila,Egypt,EGY,2,2,2,0,1,6,7,2192,64285,5971,0,5905,72449,78355,6776,4840,1060,0,9098,12676,21775
2025-02-19,2025,2,19,port23,Alexandria,Egypt,EGY,2,3,4,0,0,9,9,14631,103172,7419,0,0,125223,125223,22098,3314,2454,0,0,27866,27866
2025-02-20,2025,2,20,port2044,El Dekheila,Egypt,EGY,0,1,0,0,0,1,1,0,37474,0,0,0,37474,37474,0,4840,0,0,0,4840,4840
2025-02-20,2025,2,20,port23,Alexandria,Egypt,EGY,3,3,2,2,1,10,11,40823,71294,3709,2139,425,117967,118392,40960,9942,1227,0,0,52130,52130
2025-02-21,2025,2,21,port2044,El Dekheila,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-21,2025,2,21,port23,Alexandria,Egypt,EGY,1,0,0,0,0,1,1,0,0,0,0,0,0,0,33436,0,0,0,0,33436,33436
2025-02-22,2025,2,22,port2044,El Dekheila,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-22,2025,2,22,port23,Alexandria,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-23,2025,2,23,port2044,El Dekheila,Egypt,EGY,1,2,0,0,1,3,4,9693,114398,0,0,0,124091,124091,0,0,0,0,36398,0,36398
2025-02-23,2025,2,23,port23,Alexandria,Egypt,EGY,6,1,1,3,1,11,12,77315,53657,1535,7697,0,140205,140205,133713,0,0,0,0,133713,133713
2025-02-24,2025,2,24,port2044,El Dekheila,Egypt,EGY,6,4,0,0,1,10,11,2192,190098,0,0,0,192291,192291,24741,24733,0,0,7281,49475,56756
2025-02-24,2025,2,24,port23,Alexandria,Egypt,EGY,5,7,10,2,0,24,24,29263,184648,11627,649,0,226188,226188,93114,16570,9060,1819,0,120564,120564
2025-02-25,2025,2,25,port2044,El Dekheila,Egypt,EGY,3,0,1,0,0,4,4,34131,0,400,0,0,34531,34531,14805,0,0,0,0,14805,14805
2025-02-25,2025,2,25,port23,Alexandria,Egypt,EGY,2,3,5,1,1,11,12,14631,71294,10030,1459,8654,97416,106071,30507,9942,1227,0,3494,41676,45171
2025-02-26,2025,2,26,port2044,El Dekheila,Egypt,EGY,0,0,1,0,2,1,3,0,0,1703,0,2641,1703,4344,0,0,1060,0,32956,1060,34016
2025-02-26,2025,2,26,port23,Alexandria,Egypt,EGY,5,4,6,0,3,15,18,40997,121080,8001,0,40675,170079,210755,28993,9942,2731,0,5199,41667,46867
2025-02-27,2025,2,27,port2044,El Dekheila,Egypt,EGY,3,2,0,0,0,5,5,4385,26958,0,0,0,31343,31343,7361,52709,0,0,0,60071,60071
2025-02-27,2025,2,27,port23,Alexandria,Egypt,EGY,6,3,2,0,1,11,12,54879,50364,3709,0,8654,108953,117608,64061,27794,1227,0,3494,93082,96577
2025-02-28,2025,2,28,port2044,El Dekheila,Egypt,EGY,1,2,0,0,3,3,6,0,112970,0,0,5905,112970,118875,2729,0,0,0,18577,2729,21306
2025-02-28,2025,2,28,port23,Alexandria,Egypt,EGY,3,1,3,0,1,7,8,47589,23764,5035,0,41072,76389,117462,11752,3314,613,0,0,15680,15680
2025-03-01,2025,3,1,port2044,El Dekheila,Egypt,EGY,7,1,0,0,1,8,9,2192,37474,0,0,5905,39667,45572,22941,4840,0,0,9098,27781,36880
2025-03-01,2025,3,1,port23,Alexandria,Egypt,EGY,4,1,5,0,3,10,13,16424,23764,7047,0,35896,47236,83133,157680,3314,1632,0,490,162627,163118
2025-03-02,2025,3,2,port2044,El Dekheila,Egypt,EGY,2,1,0,0,1,3,4,0,10794,0,0,299,10794,11093,6469,0,0,0,0,6469,6469
2025-03-02,2025,3,2,port23,Alexandria,Egypt,EGY,3,1,0,0,1,4,5,20791,23764,0,0,0,44556,44556,17563,3314,0,0,1789,20877,22666
2025-03-03,2025,3,3,port2044,El Dekheila,Egypt,EGY,1,1,1,0,0,3,3,0,0,1703,0,0,1703,1703,8226,39328,1060,0,0,48615,48615
2025-03-03,2025,3,3,port23,Alexandria,Egypt,EGY,4,3,10,2,1,19,20,133511,47529,7656,1298,8654,189996,198651,22206,33562,5174,232,3494,61175,64670
2025-03-04,2025,3,4,port2044,El Dekheila,Egypt,EGY,1,4,1,0,2,6,8,9682,164001,1703,0,34275,175387,209662,0,21325,1060,0,32076,22386,54463
2025-03-04,2025,3,4,port23,Alexandria,Egypt,EGY,2,2,5,1,2,10,12,0,14384,5258,0,1999,19643,21642,36939,17276,13540,0,490,67755,68246
2025-03-05,2025,3,5,port2044,El Dekheila,Egypt,EGY,4,0,0,0,1,4,5,24392,0,0,0,0,24392,24392,12676,0,0,0,1618,12676,14295
2025-03-05,2025,3,5,port23,Alexandria,Egypt,EGY,6,5,4,1,0,16,16,143425,98043,1542,1180,0,244192,244192,45857,11112,20726,0,0,77696,77696
2025-03-06,2025,3,6,port2044,El Dekheila,Egypt,EGY,2,1,0,0,1,3,4,0,37474,0,0,0,37474,37474,18444,4840,0,0,33227,23284,56512
2025-03-06,2025,3,6,port23,Alexandria,Egypt,EGY,4,2,3,0,0,9,9,27131,9402,1854,0,0,38389,38389,58180,425,2021,0,0,60626,60626
2025-03-07,2025,3,7,port2044,El Dekheila,Egypt,EGY,3,2,1,0,0,6,6,2981,39531,8622,0,0,51135,51135,1108,4840,0,0,0,5949,5949
2025-03-07,2025,3,7,port23,Alexandria,Egypt,EGY,6,2,1,0,1,9,10,96069,25940,1542,0,0,123551,123551,41557,0,739,0,4876,42296,47173
2025-03-08,2025,3,8,port2044,El Dekheila,Egypt,EGY,2,1,1,0,0,4,4,0,33814,1703,0,0,35517,35517,5029,11645,1060,0,0,17734,17734
2025-03-08,2025,3,8,port23,Alexandria,Egypt,EGY,5,2,5,0,0,12,12,104347,48714,7645,0,0,160706,160706,78642,3314,3000,0,0,84957,84957
2025-03-09,2025,3,9,port2044,El Dekheila,Egypt,EGY,3,0,1,0,0,4,4,2192,0,1963,0,0,4156,4156,9872,0,0,0,0,9872,9872
2025-03-09,2025,3,9,port23,Alexandria,Egypt,EGY,2,1,1,0,0,4,4,100176,23764,3330,0,0,127271,127271,12892,3314,0,0,0,16206,16206
2025-03-10,2025,3,10,port2044,El Dekheila,Egypt,EGY,4,3,1,0,1,8,9,422,91625,1197,0,1267,93245,94513,10640,27242,0,0,0,37883,37883
